name,station_number,elevation,easting_original,northing_original,easting,northing
 562_1542,1001,2189.762,2701761.539,1173042.18,561.5389999998733,1542.1799999999348
 590_1542,1002,2198.227,2701789.786,1173041.596,589.7859999998473,1541.5959999999031
 620_1544,1003,2201.818,2701819.85,1173044.3,619.8500000000931,1544.3000000000466
 648_1543,1004,2206.083,2701848.098,1173043.398,648.098000000231,1543.3980000000447
 677_1544,1005,2213.498,2701877.185,1173043.648,677.1850000000559,1543.6480000000447
 933_1548,1006,2289.763,2702132.828,1173048.208,932.8280000002123,1548.2080000001006
 988_1551,1008,2296.796,2702188.063,1173050.996,988.063000000082,1550.9960000000428
1017_1546,1009,2289.825,2702217.224,1173046.257,1017.2239999999292,1546.2569999999832
1047_1547,1010,2281.771,2702247.135,1173047.477,1047.1349999997765,1547.4769999999553
1075_1550,1011,2279.918,2702274.999,1173050.415,1074.998999999836,1550.4150000000373
1104_1550,1012,2279.502,2702303.529,1173049.76,1103.5290000000969,1549.7600000000093
1132_1550,1013,2279.129,2702331.801,1173050.406,1131.8009999999776,1550.405999999959
1161_1550,1014,2284.35,2702361.127,1173050.469,1161.1269999998622,1550.469000000041
1192_1549,1015,2291.41,2702392.389,1173048.904,1192.3889999999665,1548.9040000000969
1218_1552,1016,2298.746,2702418.393,1173051.633,1218.3930000001565,1551.6329999999143
1247_1552,1017,2300.265,2702447.135,1173052.201,1247.1349999997765,1552.2009999998845
1276_1553,1018,2295.195,2702475.624,1173052.822,1275.623999999836,1552.8219999999274
1304_1553,1019,2293.301,2702504.455,1173052.89,1304.4550000000745,1552.8899999998976
1329_1553,1020,2292.931,2702529.287,1173053.408,1329.2870000000112,1553.408000000054
1392_1552,1022,2300.786,2702591.631,1173052.103,1391.6310000000522,1552.1029999998864
1418_1555,1023,2313.578,2702618.314,1173054.825,1418.3139999997802,1554.8249999999534
1447_1556,1024,2321.54,2702647.485,1173055.56,1447.4849999998696,1555.5600000000559
1477_1556,1025,2331.243,2702676.713,1173055.781,1476.7129999999888,1555.780999999959
1504_1557,1026,2339.609,2702704.064,1173056.756,1504.0639999997802,1556.7560000000522
1533_1557,1027,2345.612,2702732.955,1173056.663,1532.9550000000745,1556.6629999999423
 576_1518,1028,2186.95,2701775.58,1173018.041,575.5800000000745,1518.0409999999683
 605_1518,1029,2196.048,2701804.803,1173018.45,604.8029999998398,1518.4499999999534
 633_1519,1030,2202.517,2701832.832,1173019.105,632.8319999999367,1519.1049999999814
 662_1520,1031,2209.372,2701861.637,1173019.668,661.6370000001043,1519.6680000000633
 690_1520,1032,2211.208,2701889.888,1173019.636,689.8879999998026,1519.6359999999404
 948_1524,1033,2276.525,2702147.856,1173024.428,947.8560000001453,1524.4280000000726
 977_1521,1034,2278.178,2702176.838,1173020.804,976.8379999999888,1520.8040000000037
1004_1525,1035,2279.83,2702204.105,1173024.62,1004.1049999999814,1524.6200000001118
1033_1526,1036,2276.307,2702232.761,1173026.178,1032.7609999999404,1526.1780000000726
